MESSAGEDATE,"station_name","wl_radar","wl_radar_QC","water_sea_level","water_sea_level_QC",lat,lon
"2024-11-30 23:30:00",TOROBULU,"1.05659",1,"1.032",1,"-4.44595","122.4563"
"2024-11-30 23:20:00",TOROBULU,"1.04959",1,"1.024",1,"-4.44595","122.4563"
"2024-11-30 23:10:00",TOROBULU,"1.04959",1,"1.025",1,"-4.44595","122.4563"
"2024-11-30 23:00:00",TOROBULU,"1.05559",1,"1.031",1,"-4.44595","122.4563"
"2024-11-30 22:50:00",TOROBULU,"1.07259",1,"1.049",1,"-4.44595","122.4563"
"2024-11-30 22:40:00",TOROBULU,"1.09659",1,"1.074",1,"-4.44595","122.4563"
"2024-11-30 22:30:00",TOROBULU,"1.12959",1,"1.108",1,"-4.44595","122.4563"
"2024-11-30 22:20:00",TOROBULU,"1.17159",1,"1.151",1,"-4.44595","122.4563"
"2024-11-30 22:10:00",TOROBULU,"1.21559",1,"1.196",1,"-4.44595","122.4563"
"2024-11-30 22:00:00",TOROBULU,"1.26959",1,"1.25",1,"-4.44595","122.4563"
"2024-11-30 21:50:00",TOROBULU,"1.32659",1,"1.309",1,"-4.44595","122.4563"
"2024-11-30 21:40:00",TOROBULU,"1.39259",1,"1.375",1,"-4.44595","122.4563"
"2024-11-30 21:30:00",TOROBULU,"1.45859",1,"1.441",1,"-4.44595","122.4563"
"2024-11-30 21:20:00",TOROBULU,"1.52459",1,"1.51",1,"-4.44595","122.4563"
"2024-11-30 21:10:00",TOROBULU,"1.59559",1,"1.582",1,"-4.44595","122.4563"
"2024-11-30 21:00:00",TOROBULU,"1.66659",1,"1.658",1,"-4.44595","122.4563"
"2024-11-30 20:50:00",TOROBULU,"1.74459",1,"1.735",1,"-4.44595","122.4563"
"2024-11-30 20:40:00",TOROBULU,"1.82159",1,"1.814",1,"-4.44595","122.4563"
"2024-11-30 20:30:00",TOROBULU,"1.89859",1,"1.894",1,"-4.44595","122.4563"
"2024-11-30 20:20:00",TOROBULU,"1.98659",1,"1.981",1,"-4.44595","122.4563"
"2024-11-30 20:10:00",TOROBULU,"2.06859",1,"2.065",1,"-4.44595","122.4563"
"2024-11-30 20:00:00",TOROBULU,"2.15359",1,"2.151",1,"-4.44595","122.4563"
"2024-11-30 19:50:00",TOROBULU,"2.23859",1,"2.237",1,"-4.44595","122.4563"
"2024-11-30 19:40:00",TOROBULU,"2.32559",1,"2.329",1,"-4.44595","122.4563"
"2024-11-30 19:30:00",TOROBULU,"2.41559",1,"2.418",1,"-4.44595","122.4563"
"2024-11-30 19:20:00",TOROBULU,"2.50259",1,"2.506",1,"-4.44595","122.4563"
"2024-11-30 19:10:00",TOROBULU,"2.57759",1,"2.583",1,"-4.44595","122.4563"
"2024-11-30 19:00:00",TOROBULU,"2.66159",1,"2.669",1,"-4.44595","122.4563"
"2024-11-30 18:50:00",TOROBULU,"2.74359",1,"2.752",1,"-4.44595","122.4563"
"2024-11-30 18:40:00",TOROBULU,"2.81659",1,"2.829",1,"-4.44595","122.4563"
"2024-11-30 18:30:00",TOROBULU,"2.88659",1,"2.899",1,"-4.44595","122.4563"
"2024-11-30 18:20:00",TOROBULU,"2.95259",1,"2.965",1,"-4.44595","122.4563"
"2024-11-30 18:10:00",TOROBULU,"3.02259",1,"3.035",1,"-4.44595","122.4563"
"2024-11-30 18:00:00",TOROBULU,"3.08159",1,"3.096",1,"-4.44595","122.4563"
"2024-11-30 17:50:00",TOROBULU,"3.14459",1,"3.159",1,"-4.44595","122.4563"
"2024-11-30 17:40:00",TOROBULU,"3.19759",1,"3.212",1,"-4.44595","122.4563"
"2024-11-30 17:30:00",TOROBULU,"3.24559",1,"3.262",1,"-4.44595","122.4563"
"2024-11-30 17:20:00",TOROBULU,"3.29159",1,"3.308",1,"-4.44595","122.4563"
"2024-11-30 17:10:00",TOROBULU,"3.32959",1,"3.348",1,"-4.44595","122.4563"
"2024-11-30 17:00:00",TOROBULU,"3.36059",1,"3.379",1,"-4.44595","122.4563"
"2024-11-30 16:50:00",TOROBULU,"3.39159",1,"3.411",1,"-4.44595","122.4563"
"2024-11-30 16:40:00",TOROBULU,"3.42059",1,"3.439",1,"-4.44595","122.4563"
"2024-11-30 16:30:00",TOROBULU,"3.43259",1,"3.453",1,"-4.44595","122.4563"
"2024-11-30 16:20:00",TOROBULU,"3.44459",1,"3.466",1,"-4.44595","122.4563"
"2024-11-30 16:10:00",TOROBULU,"3.45259",1,"3.472",1,"-4.44595","122.4563"
"2024-11-30 16:00:00",TOROBULU,"3.45159",1,"-",9,"-4.44595","122.4563"
"2024-11-30 15:50:00",TOROBULU,"3.44859",1,"3.469",1,"-4.44595","122.4563"
"2024-11-30 15:40:00",TOROBULU,"3.44259",1,"3.46",1,"-4.44595","122.4563"
"2024-11-30 15:30:00",TOROBULU,"3.42559",1,"3.444",1,"-4.44595","122.4563"
"2024-11-30 15:20:00",TOROBULU,"3.39659",1,"3.416",1,"-4.44595","122.4563"
"2024-11-30 15:10:00",TOROBULU,"3.36959",1,"3.388",1,"-4.44595","122.4563"
"2024-11-30 15:00:00",TOROBULU,"3.33759",1,"3.357",1,"-4.44595","122.4563"
"2024-11-30 14:50:00",TOROBULU,"3.29559",1,"3.316",1,"-4.44595","122.4563"
"2024-11-30 14:40:00",TOROBULU,"3.25359",1,"3.272",1,"-4.44595","122.4563"
"2024-11-30 14:30:00",TOROBULU,"3.21259",1,"3.229",1,"-4.44595","122.4563"
"2024-11-30 14:20:00",TOROBULU,"3.15959",1,"3.175",1,"-4.44595","122.4563"
"2024-11-30 14:10:00",TOROBULU,"3.10459",1,"3.117",1,"-4.44595","122.4563"
"2024-11-30 14:00:00",TOROBULU,"3.04459",1,"3.055",1,"-4.44595","122.4563"
"2024-11-30 13:50:00",TOROBULU,"2.98759",1,3,1,"-4.44595","122.4563"
"2024-11-30 13:40:00",TOROBULU,"2.92259",1,"2.933",1,"-4.44595","122.4563"
"2024-11-30 13:30:00",TOROBULU,"2.86059",1,"2.867",1,"-4.44595","122.4563"
"2024-11-30 13:20:00",TOROBULU,"2.80259",1,"2.811",1,"-4.44595","122.4563"
"2024-11-30 13:10:00",TOROBULU,"2.73259",1,"2.74",1,"-4.44595","122.4563"
"2024-11-30 13:00:00",TOROBULU,"2.66859",1,"2.676",1,"-4.44595","122.4563"
"2024-11-30 12:50:00",TOROBULU,"2.60659",1,"2.609",1,"-4.44595","122.4563"
"2024-11-30 12:40:00",TOROBULU,"2.54559",1,"2.545",1,"-4.44595","122.4563"
"2024-11-30 12:30:00",TOROBULU,"2.48259",1,"2.481",1,"-4.44595","122.4563"
"2024-11-30 12:20:00",TOROBULU,"2.43359",1,"2.431",1,"-4.44595","122.4563"
"2024-11-30 12:10:00",TOROBULU,"2.37859",1,"2.376",1,"-4.44595","122.4563"
"2024-11-30 12:00:00",TOROBULU,"2.33059",1,"2.33",1,"-4.44595","122.4563"
"2024-11-30 11:50:00",TOROBULU,"2.27959",1,"2.28",1,"-4.44595","122.4563"
"2024-11-30 11:40:00",TOROBULU,"2.24259",1,"2.24",1,"-4.44595","122.4563"
"2024-11-30 11:30:00",TOROBULU,"2.21259",1,"2.212",1,"-4.44595","122.4563"
"2024-11-30 11:20:00",TOROBULU,"2.18759",1,"2.188",1,"-4.44595","122.4563"
"2024-11-30 11:10:00",TOROBULU,"2.16859",1,"2.169",1,"-4.44595","122.4563"
"2024-11-30 11:00:00",TOROBULU,"2.15559",1,"2.157",1,"-4.44595","122.4563"
"2024-11-30 10:50:00",TOROBULU,"2.15259",1,"2.153",1,"-4.44595","122.4563"
"2024-11-30 10:40:00",TOROBULU,"2.15359",1,"2.152",1,"-4.44595","122.4563"
"2024-11-30 10:30:00",TOROBULU,"2.16459",1,"2.165",1,"-4.44595","122.4563"
"2024-11-30 10:20:00",TOROBULU,"2.18259",1,"2.181",1,"-4.44595","122.4563"
"2024-11-30 10:10:00",TOROBULU,"2.19159",1,"2.194",1,"-4.44595","122.4563"
"2024-11-30 10:00:00",TOROBULU,"2.22059",1,"2.22",1,"-4.44595","122.4563"
"2024-11-30 09:50:00",TOROBULU,"2.24659",1,"2.249",1,"-4.44595","122.4563"
"2024-11-30 09:40:00",TOROBULU,"2.28559",1,"2.285",1,"-4.44595","122.4563"
"2024-11-30 09:30:00",TOROBULU,"2.33259",1,"2.334",1,"-4.44595","122.4563"
"2024-11-30 09:20:00",TOROBULU,"2.38659",1,"2.383",1,"-4.44595","122.4563"
"2024-11-30 09:10:00",TOROBULU,"2.43159",1,"2.429",1,"-4.44595","122.4563"
"2024-11-30 09:00:00",TOROBULU,"2.48059",1,"2.483",1,"-4.44595","122.4563"
"2024-11-30 08:50:00",TOROBULU,"2.53259",1,"2.539",1,"-4.44595","122.4563"
"2024-11-30 08:40:00",TOROBULU,"2.59359",1,"2.6",1,"-4.44595","122.4563"
"2024-11-30 08:30:00",TOROBULU,"2.65659",1,"2.662",1,"-4.44595","122.4563"
"2024-11-30 08:20:00",TOROBULU,"2.71359",1,"2.722",1,"-4.44595","122.4563"
"2024-11-30 08:10:00",TOROBULU,"2.76659",1,"2.778",1,"-4.44595","122.4563"
"2024-11-30 08:00:00",TOROBULU,"2.82359",1,"2.837",1,"-4.44595","122.4563"
"2024-11-30 07:50:00",TOROBULU,"2.87859",1,"2.891",1,"-4.44595","122.4563"
"2024-11-30 07:40:00",TOROBULU,"2.93559",1,"2.947",1,"-4.44595","122.4563"
"2024-11-30 07:30:00",TOROBULU,"2.98659",1,"2.998",1,"-4.44595","122.4563"
"2024-11-30 07:20:00",TOROBULU,"3.04359",1,"3.056",1,"-4.44595","122.4563"
"2024-11-30 07:10:00",TOROBULU,"3.07959",1,"3.092",1,"-4.44595","122.4563"
"2024-11-30 07:00:00",TOROBULU,"3.12159",1,"3.136",1,"-4.44595","122.4563"
"2024-11-30 06:50:00",TOROBULU,"3.15859",1,"3.177",1,"-4.44595","122.4563"
"2024-11-30 06:40:00",TOROBULU,"3.18759",1,"3.207",1,"-4.44595","122.4563"
"2024-11-30 06:30:00",TOROBULU,"3.21059",1,"3.229",1,"-4.44595","122.4563"
"2024-11-30 06:20:00",TOROBULU,"3.22659",1,"3.247",1,"-4.44595","122.4563"
"2024-11-30 06:10:00",TOROBULU,"3.23859",1,"3.26",1,"-4.44595","122.4563"
"2024-11-30 06:00:00",TOROBULU,"3.24859",1,"3.269",1,"-4.44595","122.4563"
"2024-11-30 05:50:00",TOROBULU,"3.24759",1,"3.268",1,"-4.44595","122.4563"
"2024-11-30 05:40:00",TOROBULU,"3.24659",1,"3.267",1,"-4.44595","122.4563"
"2024-11-30 05:30:00",TOROBULU,"3.24559",1,"3.265",1,"-4.44595","122.4563"
"2024-11-30 05:20:00",TOROBULU,"3.22659",1,"3.244",1,"-4.44595","122.4563"
"2024-11-30 05:10:00",TOROBULU,"3.21859",1,"3.239",1,"-4.44595","122.4563"
"2024-11-30 05:00:00",TOROBULU,"3.20559",1,"3.225",1,"-4.44595","122.4563"
"2024-11-30 04:50:00",TOROBULU,"3.18559",1,"3.203",1,"-4.44595","122.4563"
"2024-11-30 04:40:00",TOROBULU,"3.16159",1,"3.18",1,"-4.44595","122.4563"
"2024-11-30 04:30:00",TOROBULU,"3.13559",1,"3.153",1,"-4.44595","122.4563"
"2024-11-30 04:20:00",TOROBULU,"3.10759",1,"3.124",1,"-4.44595","122.4563"
"2024-11-30 04:10:00",TOROBULU,"3.07659",1,"3.092",1,"-4.44595","122.4563"
"2024-11-30 04:00:00",TOROBULU,"3.03559",1,"3.05",1,"-4.44595","122.4563"
"2024-11-30 03:50:00",TOROBULU,"2.99259",1,"3.006",1,"-4.44595","122.4563"
"2024-11-30 03:40:00",TOROBULU,"2.94559",1,"2.956",1,"-4.44595","122.4563"
"2024-11-30 03:30:00",TOROBULU,"2.89559",1,"2.904",1,"-4.44595","122.4563"
"2024-11-30 03:20:00",TOROBULU,"2.83659",1,"2.842",1,"-4.44595","122.4563"
"2024-11-30 03:10:00",TOROBULU,"2.76959",1,"2.773",1,"-4.44595","122.4563"
"2024-11-30 03:00:00",TOROBULU,"2.70359",1,"2.709",1,"-4.44595","122.4563"
"2024-11-30 02:50:00",TOROBULU,"2.63759",1,"2.637",1,"-4.44595","122.4563"
"2024-11-30 02:40:00",TOROBULU,"2.56559",1,"2.569",1,"-4.44595","122.4563"
"2024-11-30 02:30:00",TOROBULU,"2.49559",1,"2.495",1,"-4.44595","122.4563"
"2024-11-30 02:20:00",TOROBULU,"2.41759",1,"2.417",1,"-4.44595","122.4563"
"2024-11-30 02:10:00",TOROBULU,"2.34959",1,"2.344",1,"-4.44595","122.4563"
"2024-11-30 02:00:00",TOROBULU,"2.27459",1,"2.268",1,"-4.44595","122.4563"
"2024-11-30 01:50:00",TOROBULU,"2.20159",1,"2.192",1,"-4.44595","122.4563"
"2024-11-30 01:40:00",TOROBULU,"2.12159",1,"2.113",1,"-4.44595","122.4563"
"2024-11-30 01:30:00",TOROBULU,"2.05159",1,"2.042",1,"-4.44595","122.4563"
"2024-11-30 01:20:00",TOROBULU,"1.97659",1,"1.965",1,"-4.44595","122.4563"
"2024-11-30 01:10:00",TOROBULU,"1.90359",1,"1.891",1,"-4.44595","122.4563"
"2024-11-30 01:00:00",TOROBULU,"1.82359",1,"1.81",1,"-4.44595","122.4563"
"2024-11-30 00:50:00",TOROBULU,"1.74759",1,"1.732",1,"-4.44595","122.4563"
"2024-11-30 00:40:00",TOROBULU,"1.67859",1,"1.663",1,"-4.44595","122.4563"
"2024-11-30 00:30:00",TOROBULU,"1.60759",1,"1.592",1,"-4.44595","122.4563"
"2024-11-30 00:20:00",TOROBULU,"1.53859",1,"1.522",1,"-4.44595","122.4563"
"2024-11-30 00:10:00",TOROBULU,"1.47959",1,"1.461",1,"-4.44595","122.4563"
"2024-11-30 00:00:00",TOROBULU,"1.42059",1,"1.398",1,"-4.44595","122.4563"
"2024-11-29 23:50:00",TOROBULU,"1.37459",1,"1.353",1,"-4.44595","122.4563"
"2024-11-29 23:40:00",TOROBULU,"1.32059",1,"1.301",1,"-4.44595","122.4563"
"2024-11-29 23:30:00",TOROBULU,"1.28059",1,"1.265",1,"-4.44595","122.4563"
"2024-11-29 23:20:00",TOROBULU,"1.24959",1,"1.232",1,"-4.44595","122.4563"
"2024-11-29 23:10:00",TOROBULU,"1.22859",1,"1.208",1,"-4.44595","122.4563"
"2024-11-29 23:00:00",TOROBULU,"1.21459",1,"1.192",1,"-4.44595","122.4563"
"2024-11-29 22:50:00",TOROBULU,"1.19659",1,"1.173",1,"-4.44595","122.4563"
"2024-11-29 22:40:00",TOROBULU,"1.19959",1,"1.174",1,"-4.44595","122.4563"
"2024-11-29 22:30:00",TOROBULU,"1.19059",1,"1.168",1,"-4.44595","122.4563"
"2024-11-29 22:20:00",TOROBULU,"1.21259",1,"1.19",1,"-4.44595","122.4563"
"2024-11-29 22:10:00",TOROBULU,"1.22259",1,"1.202",1,"-4.44595","122.4563"
"2024-11-29 22:00:00",TOROBULU,"1.24059",1,"1.221",1,"-4.44595","122.4563"
"2024-11-29 21:50:00",TOROBULU,"1.27159",1,"1.255",1,"-4.44595","122.4563"
"2024-11-29 21:40:00",TOROBULU,"1.29959",1,"1.287",1,"-4.44595","122.4563"
"2024-11-29 21:30:00",TOROBULU,"1.34959",1,"1.336",1,"-4.44595","122.4563"
"2024-11-29 21:20:00",TOROBULU,"1.39259",1,"1.381",1,"-4.44595","122.4563"
"2024-11-29 21:10:00",TOROBULU,"1.45659",1,"1.441",1,"-4.44595","122.4563"
"2024-11-29 21:00:00",TOROBULU,"1.52259",1,"1.507",1,"-4.44595","122.4563"
"2024-11-29 20:50:00",TOROBULU,"1.58459",1,"1.57",1,"-4.44595","122.4563"
"2024-11-29 20:40:00",TOROBULU,"1.65559",1,"1.643",1,"-4.44595","122.4563"
"2024-11-29 20:30:00",TOROBULU,"1.73159",1,"1.72",1,"-4.44595","122.4563"
"2024-11-29 20:20:00",TOROBULU,"1.81059",1,"1.8",1,"-4.44595","122.4563"
"2024-11-29 20:10:00",TOROBULU,"1.88859",1,"1.88",1,"-4.44595","122.4563"
"2024-11-29 20:00:00",TOROBULU,"1.96859",1,"1.959",1,"-4.44595","122.4563"
"2024-11-29 19:50:00",TOROBULU,"2.05159",1,"2.044",1,"-4.44595","122.4563"
"2024-11-29 19:40:00",TOROBULU,"2.13459",1,"2.131",1,"-4.44595","122.4563"
"2024-11-29 19:30:00",TOROBULU,"2.21759",1,"2.213",1,"-4.44595","122.4563"
"2024-11-29 19:20:00",TOROBULU,"2.29459",1,"2.295",1,"-4.44595","122.4563"
"2024-11-29 19:10:00",TOROBULU,"2.37459",1,"2.377",1,"-4.44595","122.4563"
"2024-11-29 19:00:00",TOROBULU,"2.45059",1,"2.455",1,"-4.44595","122.4563"
"2024-11-29 18:50:00",TOROBULU,"2.53059",1,"2.536",1,"-4.44595","122.4563"
"2024-11-29 18:40:00",TOROBULU,"2.60559",1,"2.614",1,"-4.44595","122.4563"
"2024-11-29 18:30:00",TOROBULU,"2.68359",1,"2.694",1,"-4.44595","122.4563"
"2024-11-29 18:20:00",TOROBULU,"2.75759",1,"2.767",1,"-4.44595","122.4563"
"2024-11-29 18:10:00",TOROBULU,"2.83159",1,"2.843",1,"-4.44595","122.4563"
"2024-11-29 18:00:00",TOROBULU,"2.89959",1,"2.913",1,"-4.44595","122.4563"
"2024-11-29 17:50:00",TOROBULU,"2.96959",1,"2.985",1,"-4.44595","122.4563"
"2024-11-29 17:40:00",TOROBULU,"3.03859",1,"3.051",1,"-4.44595","122.4563"
"2024-11-29 17:30:00",TOROBULU,"3.09859",1,"3.112",1,"-4.44595","122.4563"
"2024-11-29 17:20:00",TOROBULU,"3.15059",1,"3.168",1,"-4.44595","122.4563"
"2024-11-29 17:10:00",TOROBULU,"3.20259",1,"3.219",1,"-4.44595","122.4563"
"2024-11-29 17:00:00",TOROBULU,"3.24859",1,"3.265",1,"-4.44595","122.4563"
"2024-11-29 16:50:00",TOROBULU,"3.28859",1,"3.306",1,"-4.44595","122.4563"
"2024-11-29 16:40:00",TOROBULU,"3.32159",1,"3.34",1,"-4.44595","122.4563"
"2024-11-29 16:30:00",TOROBULU,"3.34759",1,"3.366",1,"-4.44595","122.4563"
"2024-11-29 16:20:00",TOROBULU,"3.37059",1,"3.389",1,"-4.44595","122.4563"
"2024-11-29 16:10:00",TOROBULU,"3.38659",1,"3.404",1,"-4.44595","122.4563"
"2024-11-29 16:00:00",TOROBULU,"3.39959",1,"3.417",1,"-4.44595","122.4563"
"2024-11-29 15:50:00",TOROBULU,"3.41059",1,"3.427",1,"-4.44595","122.4563"
"2024-11-29 15:40:00",TOROBULU,"3.41059",1,"3.427",1,"-4.44595","122.4563"
"2024-11-29 15:30:00",TOROBULU,"3.41059",1,"3.427",1,"-4.44595","122.4563"
"2024-11-29 15:20:00",TOROBULU,"3.40859",1,"3.424",1,"-4.44595","122.4563"
"2024-11-29 15:10:00",TOROBULU,"3.39459",1,"3.412",1,"-4.44595","122.4563"
"2024-11-29 15:00:00",TOROBULU,"3.37859",1,"3.394",1,"-4.44595","122.4563"
"2024-11-29 14:50:00",TOROBULU,"3.35859",1,"3.375",1,"-4.44595","122.4563"
"2024-11-29 14:40:00",TOROBULU,"3.33259",1,"3.35",1,"-4.44595","122.4563"
"2024-11-29 14:30:00",TOROBULU,"3.29859",1,"3.317",1,"-4.44595","122.4563"
"2024-11-29 14:20:00",TOROBULU,"3.26059",1,"3.277",1,"-4.44595","122.4563"
"2024-11-29 14:10:00",TOROBULU,"3.21759",1,"3.231",1,"-4.44595","122.4563"
"2024-11-29 14:00:00",TOROBULU,"3.17359",1,"3.186",1,"-4.44595","122.4563"
"2024-11-29 13:50:00",TOROBULU,"3.12459",1,"3.136",1,"-4.44595","122.4563"
"2024-11-29 13:40:00",TOROBULU,"3.06959",1,"3.08",1,"-4.44595","122.4563"
"2024-11-29 13:30:00",TOROBULU,"3.01359",1,"3.022",1,"-4.44595","122.4563"
"2024-11-29 13:20:00",TOROBULU,"2.95659",1,"2.966",1,"-4.44595","122.4563"
"2024-11-29 13:10:00",TOROBULU,"2.90059",1,"2.91",1,"-4.44595","122.4563"
"2024-11-29 13:00:00",TOROBULU,"2.84259",1,"2.852",1,"-4.44595","122.4563"
"2024-11-29 12:50:00",TOROBULU,"2.79159",1,"2.797",1,"-4.44595","122.4563"
"2024-11-29 12:40:00",TOROBULU,"2.73659",1,"2.742",1,"-4.44595","122.4563"
"2024-11-29 12:30:00",TOROBULU,"2.67959",1,"2.687",1,"-4.44595","122.4563"
"2024-11-29 12:20:00",TOROBULU,"2.62559",1,"2.631",1,"-4.44595","122.4563"
"2024-11-29 12:10:00",TOROBULU,"2.57159",1,"2.575",1,"-4.44595","122.4563"
"2024-11-29 12:00:00",TOROBULU,"2.52059",1,"2.527",1,"-4.44595","122.4563"
"2024-11-29 11:50:00",TOROBULU,"2.46859",1,"2.473",1,"-4.44595","122.4563"
"2024-11-29 11:40:00",TOROBULU,"2.41859",1,"2.421",1,"-4.44595","122.4563"
"2024-11-29 11:30:00",TOROBULU,"2.37659",1,"2.377",1,"-4.44595","122.4563"
"2024-11-29 11:20:00",TOROBULU,"2.33559",1,"2.333",1,"-4.44595","122.4563"
"2024-11-29 11:10:00",TOROBULU,"2.29659",1,"2.294",1,"-4.44595","122.4563"
"2024-11-29 11:00:00",TOROBULU,"2.26459",1,"2.261",1,"-4.44595","122.4563"
"2024-11-29 10:50:00",TOROBULU,"2.23259",1,"2.231",1,"-4.44595","122.4563"
"2024-11-29 10:40:00",TOROBULU,"2.20659",1,"2.207",1,"-4.44595","122.4563"
"2024-11-29 10:30:00",TOROBULU,"2.19559",1,"2.192",1,"-4.44595","122.4563"
"2024-11-29 10:20:00",TOROBULU,"2.18159",1,"2.178",1,"-4.44595","122.4563"
"2024-11-29 10:10:00",TOROBULU,"2.17359",1,"2.17",1,"-4.44595","122.4563"
"2024-11-29 10:00:00",TOROBULU,"2.16659",1,"2.169",1,"-4.44595","122.4563"
"2024-11-29 09:50:00",TOROBULU,"2.17559",1,"2.178",1,"-4.44595","122.4563"
"2024-11-29 09:40:00",TOROBULU,"2.18459",1,"2.187",1,"-4.44595","122.4563"
"2024-11-29 09:30:00",TOROBULU,"2.19959",1,"2.203",1,"-4.44595","122.4563"
"2024-11-29 09:20:00",TOROBULU,"2.21859",1,"2.223",1,"-4.44595","122.4563"
"2024-11-29 09:10:00",TOROBULU,"2.24559",1,"2.25",1,"-4.44595","122.4563"
"2024-11-29 09:00:00",TOROBULU,"2.28059",1,"2.284",1,"-4.44595","122.4563"
"2024-11-29 08:50:00",TOROBULU,"2.30759",1,"2.311",1,"-4.44595","122.4563"
"2024-11-29 08:40:00",TOROBULU,"2.34959",1,"2.355",1,"-4.44595","122.4563"
"2024-11-29 08:30:00",TOROBULU,"2.39159",1,"2.398",1,"-4.44595","122.4563"
"2024-11-29 08:20:00",TOROBULU,"2.43459",1,"2.44",1,"-4.44595","122.4563"
"2024-11-29 08:10:00",TOROBULU,"2.47759",1,"2.484",1,"-4.44595","122.4563"
"2024-11-29 08:00:00",TOROBULU,"2.53359",1,"2.542",1,"-4.44595","122.4563"
"2024-11-29 07:50:00",TOROBULU,"2.57859",1,"2.588",1,"-4.44595","122.4563"
"2024-11-29 07:40:00",TOROBULU,"2.62659",1,"2.638",1,"-4.44595","122.4563"
"2024-11-29 07:30:00",TOROBULU,"2.67559",1,"2.689",1,"-4.44595","122.4563"
"2024-11-29 07:20:00",TOROBULU,"2.72859",1,"2.742",1,"-4.44595","122.4563"
"2024-11-29 07:10:00",TOROBULU,"2.77959",1,"2.794",1,"-4.44595","122.4563"
"2024-11-29 07:00:00",TOROBULU,"2.82459",1,"2.839",1,"-4.44595","122.4563"
"2024-11-29 06:50:00",TOROBULU,"2.86459",1,"2.881",1,"-4.44595","122.4563"
"2024-11-29 06:40:00",TOROBULU,"2.90859",1,"2.924",1,"-4.44595","122.4563"
"2024-11-29 06:30:00",TOROBULU,"2.95159",1,"2.966",1,"-4.44595","122.4563"
"2024-11-29 06:20:00",TOROBULU,"2.98659",1,"2.999",1,"-4.44595","122.4563"
"2024-11-29 06:10:00",TOROBULU,"3.01259",1,"3.027",1,"-4.44595","122.4563"
"2024-11-29 06:00:00",TOROBULU,"3.03759",1,"3.052",1,"-4.44595","122.4563"
"2024-11-29 05:50:00",TOROBULU,"3.06159",1,"3.077",1,"-4.44595","122.4563"
"2024-11-29 05:40:00",TOROBULU,"3.07659",1,"3.093",1,"-4.44595","122.4563"
"2024-11-29 05:30:00",TOROBULU,"3.08859",1,"3.104",1,"-4.44595","122.4563"
"2024-11-29 05:20:00",TOROBULU,"3.09559",1,"3.111",1,"-4.44595","122.4563"
"2024-11-29 05:10:00",TOROBULU,"3.10059",1,"3.116",1,"-4.44595","122.4563"
"2024-11-29 05:00:00",TOROBULU,"3.10859",1,"3.125",1,"-4.44595","122.4563"
"2024-11-29 04:50:00",TOROBULU,"3.11059",1,"3.128",1,"-4.44595","122.4563"
"2024-11-29 04:40:00",TOROBULU,"3.10359",1,"3.121",1,"-4.44595","122.4563"
"2024-11-29 04:30:00",TOROBULU,"3.09759",1,"3.114",1,"-4.44595","122.4563"
"2024-11-29 04:20:00",TOROBULU,"3.08859",1,"3.104",1,"-4.44595","122.4563"
"2024-11-29 04:10:00",TOROBULU,"3.06959",1,"3.085",1,"-4.44595","122.4563"
"2024-11-29 04:00:00",TOROBULU,"3.04659",1,"3.061",1,"-4.44595","122.4563"
"2024-11-29 03:50:00",TOROBULU,"3.02659",1,"3.04",1,"-4.44595","122.4563"
"2024-11-29 03:40:00",TOROBULU,"3.00159",1,"3.011",1,"-4.44595","122.4563"
"2024-11-29 03:30:00",TOROBULU,"2.97259",1,"2.982",1,"-4.44595","122.4563"
"2024-11-29 03:20:00",TOROBULU,"2.93559",1,"2.946",1,"-4.44595","122.4563"
"2024-11-29 03:10:00",TOROBULU,"2.89459",1,"2.904",1,"-4.44595","122.4563"
"2024-11-29 03:00:00",TOROBULU,"2.85459",1,"2.863",1,"-4.44595","122.4563"
"2024-11-29 02:50:00",TOROBULU,"2.81159",1,"2.819",1,"-4.44595","122.4563"
"2024-11-29 02:40:00",TOROBULU,"2.76059",1,"2.767",1,"-4.44595","122.4563"
"2024-11-29 02:30:00",TOROBULU,"2.70459",1,"2.71",1,"-4.44595","122.4563"
"2024-11-29 02:20:00",TOROBULU,"2.65059",1,"2.654",1,"-4.44595","122.4563"
"2024-11-29 02:10:00",TOROBULU,"2.58959",1,"2.591",1,"-4.44595","122.4563"
"2024-11-29 02:00:00",TOROBULU,"2.52059",1,"2.52",1,"-4.44595","122.4563"
"2024-11-29 01:50:00",TOROBULU,"2.44759",1,"2.447",1,"-4.44595","122.4563"
"2024-11-29 01:40:00",TOROBULU,"2.38159",1,"2.38",1,"-4.44595","122.4563"
"2024-11-29 01:30:00",TOROBULU,"2.30959",1,"2.307",1,"-4.44595","122.4563"
"2024-11-29 01:20:00",TOROBULU,"2.23459",1,"2.232",1,"-4.44595","122.4563"
"2024-11-29 01:10:00",TOROBULU,"2.16259",1,"2.157",1,"-4.44595","122.4563"
"2024-11-29 01:00:00",TOROBULU,"2.08959",1,"2.081",1,"-4.44595","122.4563"
"2024-11-29 00:50:00",TOROBULU,"2.02559",1,"2.016",1,"-4.44595","122.4563"
"2024-11-29 00:40:00",TOROBULU,"1.95459",1,"1.944",1,"-4.44595","122.4563"
"2024-11-29 00:30:00",TOROBULU,"1.88459",1,"1.872",1,"-4.44595","122.4563"
"2024-11-29 00:20:00",TOROBULU,"1.81859",1,"1.805",1,"-4.44595","122.4563"
